epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.906,1.21101,1.24065,0.95495,0.7695,0.84989,0.85133,0.50628,1.26008,0.85022,0.99157,0.000664564,0.000664564,0.000664564
2,235.632,1.22498,1.25769,0.9626,0.76067,0.83802,0.83464,0.49385,1.27273,1.00446,1.00013,0.00130487,0.00130487,0.00130487
3,350.518,1.23641,1.26426,0.96983,0.80928,0.84388,0.8626,0.51754,1.26705,0.92034,0.99843,0.00191878,0.00191878,0.00191878
4,465.347,1.24778,1.28756,0.97173,0.80462,0.83687,0.85648,0.49507,1.29584,0.91508,1.00079,0.0018812,0.0018812,0.0018812
5,580.297,1.24303,1.31175,0.97252,0.75884,0.82312,0.81933,0.48156,1.29074,1.04524,1.00655,0.0018416,0.0018416,0.0018416
6,695.264,1.25588,1.26224,0.9697,0.81104,0.82348,0.85214,0.48945,1.28714,1.06992,0.99904,0.001802,0.001802,0.001802
7,810.217,1.25092,1.30956,0.96913,0.79671,0.82978,0.84589,0.50345,1.26086,0.95052,0.99633,0.0017624,0.0017624,0.0017624
8,924.599,1.2566,1.28757,0.96886,0.80817,0.83795,0.87046,0.52081,1.27318,0.94279,1.00051,0.0017228,0.0017228,0.0017228
9,1039.47,1.25045,1.29365,0.97034,0.78816,0.85177,0.85402,0.51143,1.25633,0.91697,0.99431,0.0016832,0.0016832,0.0016832
10,1153.8,1.2495,1.3002,0.96914,0.71952,0.7986,0.79974,0.45411,1.2774,1.0584,0.99152,0.0016436,0.0016436,0.0016436
11,1269.12,1.24904,1.25779,0.96544,0.79544,0.83115,0.85934,0.51527,1.25,0.88585,0.99267,0.001604,0.001604,0.001604
12,1383.63,1.25322,1.2746,0.9725,0.75794,0.80547,0.82813,0.47729,1.29398,1.01484,1.00299,0.0015644,0.0015644,0.0015644
13,1497.39,1.24157,1.27887,0.96962,0.82402,0.83092,0.8716,0.5285,1.24592,0.98166,0.99373,0.0015248,0.0015248,0.0015248
14,1611.8,1.24787,1.2772,0.97187,0.81215,0.83166,0.85385,0.50799,1.25283,1.08495,0.99279,0.0014852,0.0014852,0.0014852
15,1726.29,1.2504,1.28345,0.97131,0.79259,0.8473,0.85766,0.49743,1.30563,0.90271,1.01347,0.0014456,0.0014456,0.0014456
16,1840.85,1.24425,1.27042,0.96902,0.74019,0.8467,0.81482,0.47136,1.28281,0.92366,0.99795,0.001406,0.001406,0.001406
17,1955.28,1.24538,1.26245,0.96618,0.78628,0.8522,0.84534,0.50359,1.27565,0.9525,0.99575,0.0013664,0.0013664,0.0013664
18,2069.76,1.24404,1.2503,0.97043,0.78651,0.84779,0.84568,0.49761,1.24512,1.06168,0.98305,0.0013268,0.0013268,0.0013268
19,2183.86,1.23838,1.26652,0.97056,0.8159,0.79672,0.86372,0.51193,1.25386,1.07785,0.99236,0.0012872,0.0012872,0.0012872
20,2298.44,1.23947,1.24483,0.96541,0.75577,0.84815,0.83389,0.5022,1.23757,0.97962,0.98731,0.0012476,0.0012476,0.0012476
21,2412.43,1.23103,1.23886,0.96738,0.73512,0.85589,0.81102,0.47906,1.26983,0.9513,0.9987,0.001208,0.001208,0.001208
22,2527.31,1.23662,1.2604,0.96455,0.84611,0.80858,0.87652,0.54027,1.22977,0.93142,0.98237,0.0011684,0.0011684,0.0011684
23,2642.03,1.23515,1.25063,0.96603,0.81764,0.83557,0.86844,0.52726,1.23819,0.91469,0.98576,0.0011288,0.0011288,0.0011288
24,2756.33,1.24967,1.25827,0.96804,0.78601,0.82855,0.85282,0.51032,1.24224,0.93273,0.98699,0.0010892,0.0010892,0.0010892
25,2870.7,1.23655,1.26227,0.96738,0.82483,0.82334,0.8664,0.518,1.23381,1.00664,0.98483,0.0010496,0.0010496,0.0010496
26,2985.68,1.23634,1.24952,0.96551,0.78409,0.83101,0.85348,0.51522,1.22771,0.89754,0.98323,0.00101,0.00101,0.00101
27,3100.19,1.23755,1.25471,0.96404,0.81562,0.84421,0.87124,0.5274,1.21853,0.98035,0.97967,0.0009704,0.0009704,0.0009704
28,3214.4,1.22615,1.2185,0.96718,0.72914,0.79398,0.8016,0.47813,1.23154,1.03106,0.98556,0.0009308,0.0009308,0.0009308
29,3328.91,1.22472,1.23382,0.96247,0.79,0.84396,0.84888,0.51324,1.22222,0.93113,0.98585,0.0008912,0.0008912,0.0008912
30,3443.76,1.22085,1.21733,0.96511,0.78812,0.8347,0.8596,0.52001,1.23149,0.79154,0.9872,0.0008516,0.0008516,0.0008516
31,3558.24,1.22607,1.2373,0.9625,0.80775,0.81335,0.84667,0.5147,1.22867,0.93238,0.98531,0.000812,0.000812,0.000812
32,3673.6,1.22215,1.21074,0.9611,0.7929,0.82218,0.84917,0.51298,1.21564,0.94214,0.98121,0.0007724,0.0007724,0.0007724
33,3788.36,1.20998,1.18202,0.95414,0.78992,0.82097,0.8551,0.51357,1.21856,0.86679,0.98539,0.0007328,0.0007328,0.0007328
