epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.382,1.28537,8.56545,1.01842,0.43303,0.94147,0.84164,0.49544,1.34963,2.10268,1.04541,0.000664628,0.000664628,0.000664628
2,232.037,1.31211,6.47316,1.02444,0.38244,0.93988,0.83576,0.48655,1.38577,1.79476,1.06057,0.00130493,0.00130493,0.00130493
3,345.163,1.31398,7.35938,1.00612,0.37344,0.93865,0.8231,0.46995,1.37779,1.90623,1.0522,0.00191884,0.00191884,0.00191884
4,458.235,1.36284,4.90999,1.05305,0.34583,0.93207,0.78872,0.43519,1.45621,1.77788,1.09197,0.0018812,0.0018812,0.0018812
5,570.533,1.36967,6.64286,1.03146,0.40772,0.93446,0.84697,0.49176,1.38411,1.69714,1.06217,0.0018416,0.0018416,0.0018416
6,683.093,1.41838,5.16715,1.07827,0.32608,0.93236,0.80667,0.45263,1.45003,1.96082,1.07319,0.001802,0.001802,0.001802
7,795.847,1.39749,5.83102,1.06253,0.34833,0.92997,0.78878,0.44112,1.44322,2.09041,1.07733,0.0017624,0.0017624,0.0017624
8,908.375,1.40783,6.15502,1.05173,0.36617,0.94191,0.83694,0.46757,1.38795,2.12106,1.0572,0.0017228,0.0017228,0.0017228
9,1020.71,1.39286,4.95925,1.05721,0.36104,0.9388,0.82723,0.46263,1.45311,2.05956,1.0905,0.0016832,0.0016832,0.0016832
10,1131.88,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,1242.95,1.39384,6.30113,1.05346,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
12,1353.77,1.3573,6.93398,1.03845,0,0,0,0,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,1464.57,1.35887,6.03568,1.05009,0,0,0,0,nan,nan,nan,0.0015248,0.0015248,0.0015248
14,1575.64,1.33857,5.03387,1.02185,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,1686.63,1.35647,6.80826,1.03694,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,1797.38,1.36415,6.90065,1.04097,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
17,1908.13,1.3678,5.93592,1.05607,0,0,0,0,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,2019.42,1.37422,6.22734,1.02991,0,0,0,0,nan,nan,nan,0.0013268,0.0013268,0.0013268
