epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.282,1.2448,2.55876,0.97841,0.42099,0.9427,0.79657,0.45935,1.31678,1.77743,1.0216,0.000664609,0.000664609,0.000664609
2,232.571,1.2395,2.0131,0.9777,0.78673,0.7774,0.81473,0.45563,1.3966,1.2824,1.05286,0.00130492,0.00130492,0.00130492
3,346.611,1.36979,2.01456,1.01933,0.36274,0.93916,0.83715,0.4613,1.36901,1.85706,1.01915,0.00191882,0.00191882,0.00191882
4,460.841,1.34333,2.88536,1.01203,0.74636,0.85042,0.84889,0.47179,1.35493,1.42464,1.04104,0.0018812,0.0018812,0.0018812
5,574.892,1.35534,1.9491,1.02763,0.78502,0.84294,0.87155,0.5014,1.34086,1.35333,1.03349,0.0018416,0.0018416,0.0018416
6,687.926,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
7,799.176,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,911.292,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,1022.68,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,1133.12,1.37,3.11657,1.02607,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,1243.58,1.39862,2.72744,1.03756,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
12,1353.94,1.41161,1.97617,1.03738,0,0,0,0,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,1464.77,1.40373,3.39577,1.04264,0,0,0,0,nan,nan,nan,0.0015248,0.0015248,0.0015248
14,1574.24,1.39114,2.11149,1.04022,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,1684.76,1.40771,2.77095,1.04139,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,1795.09,1.39494,1.96301,1.04124,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
17,1905.9,1.4074,3.07534,1.03911,0,0,0,0,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,2015.86,1.41258,2.19245,1.03971,0,0,0,0,nan,nan,nan,0.0013268,0.0013268,0.0013268
19,2126.37,1.43414,2.86475,1.04887,0,0,0,0,nan,nan,nan,0.0012872,0.0012872,0.0012872
20,2236.97,1.42151,2.05931,1.03845,0,0,0,0,nan,nan,nan,0.0012476,0.0012476,0.0012476
21,2346.74,1.40347,2.14789,1.04328,0,0,0,0,nan,nan,nan,0.001208,0.001208,0.001208
22,2456.32,1.39733,2.00448,1.04642,0,0,0,0,nan,nan,nan,0.0011684,0.0011684,0.0011684
23,2565.73,1.41447,2.17742,1.05405,0,0,0,0,nan,nan,nan,0.0011288,0.0011288,0.0011288
24,2676.29,1.40586,1.97781,1.03739,0,0,0,0,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,2786.21,1.39885,2.2344,1.04839,0,0,0,0,nan,nan,nan,0.0010496,0.0010496,0.0010496
26,2896.08,1.40948,2.6708,1.04186,0,0,0,0,nan,nan,nan,0.00101,0.00101,0.00101
27,3006.22,1.41547,2.09428,1.03848,0,0,0,0,nan,nan,nan,0.0009704,0.0009704,0.0009704
28,3116.5,1.39066,2.02258,1.04879,0,0,0,0,nan,nan,nan,0.0009308,0.0009308,0.0009308
29,3226.14,1.39128,2.34131,1.03512,0,0,0,0,nan,nan,nan,0.0008912,0.0008912,0.0008912
30,3336.06,1.39937,3.54902,1.04038,0,0,0,0,nan,nan,nan,0.0008516,0.0008516,0.0008516
31,3446.16,1.39882,1.98041,1.04808,0,0,0,0,nan,nan,nan,0.000812,0.000812,0.000812
32,3556.76,1.38399,2.07869,1.04437,0,0,0,0,nan,nan,nan,0.0007724,0.0007724,0.0007724
33,3666.05,1.39487,3.13458,1.04685,0,0,0,0,nan,nan,nan,0.0007328,0.0007328,0.0007328
34,3775.54,1.38921,2.22408,1.04438,0,0,0,0,nan,nan,nan,0.0006932,0.0006932,0.0006932
35,3886.09,1.37825,2.0181,1.0307,0,0,0,0,nan,nan,nan,0.0006536,0.0006536,0.0006536
36,3995.59,1.36964,3.11208,1.04324,0,0,0,0,nan,nan,nan,0.000614,0.000614,0.000614
37,4105.2,1.3589,2.83096,1.02497,0,0,0,0,nan,nan,nan,0.0005744,0.0005744,0.0005744
38,4214.43,1.39059,2.24871,1.03765,0,0,0,0,nan,nan,nan,0.0005348,0.0005348,0.0005348
39,4324.25,1.40089,2.26905,1.03872,0,0,0,0,nan,nan,nan,0.0004952,0.0004952,0.0004952
40,4434.95,1.3852,1.96474,1.03545,0,0,0,0,nan,nan,nan,0.0004556,0.0004556,0.0004556
41,4544.89,1.2775,16.1371,0.97312,0,0,0,0,nan,nan,nan,0.000416,0.000416,0.000416
42,4654,1.24391,15.4487,0.97042,0,0,0,0,nan,nan,nan,0.0003764,0.0003764,0.0003764
43,4763.76,1.23519,17.064,0.96215,0,0,0,0,nan,nan,nan,0.0003368,0.0003368,0.0003368
44,4872.94,1.26826,12.4708,0.9843,0,0,0,0,nan,nan,nan,0.0002972,0.0002972,0.0002972
45,4981.22,1.27435,13.375,0.98929,0,0,0,0,nan,nan,nan,0.0002576,0.0002576,0.0002576
46,5090.15,1.23905,14.6718,0.96942,0,0,0,0,nan,nan,nan,0.000218,0.000218,0.000218
47,5199.72,1.2469,16.3091,0.96775,0,0,0,0,nan,nan,nan,0.0001784,0.0001784,0.0001784
48,5308.8,1.24959,13.2233,0.98114,0,0,0,0,nan,nan,nan,0.0001388,0.0001388,0.0001388
49,5417.81,1.238,13.3138,0.97086,0,0,0,0,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
50,5526.16,1.23396,13.4821,0.97539,0,0,0,0,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
