epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7028,1.21761,0.62938,0.96178,0.85975,0.83245,0.91093,0.57528,1.19442,0.59468,1.00015,0.00066532,0.00066532,0.00066532
2,184.416,1.25267,0.62921,0.96398,0.85315,0.82833,0.90622,0.55915,1.23058,0.62213,0.99705,0.00130561,0.00130561,0.00130561
3,282.831,1.26604,0.63868,0.9682,0.85889,0.82779,0.90696,0.56928,1.21324,0.5995,1.00106,0.00191951,0.00191951,0.00191951
4,383.406,1.26639,0.63669,0.9694,0.85389,0.83361,0.90716,0.56741,1.22465,0.59786,1.00972,0.0018812,0.0018812,0.0018812
5,483.562,1.26718,0.63314,0.96988,0.85905,0.83071,0.90798,0.56523,1.21072,0.59023,0.99754,0.0018416,0.0018416,0.0018416
6,587.209,1.26287,0.63648,0.96898,0.8462,0.83462,0.90515,0.56306,1.23055,0.61939,1.00733,0.001802,0.001802,0.001802
7,672.564,1.26081,0.63179,0.96672,0.85391,0.82811,0.90622,0.55827,1.24157,0.60452,1.0021,0.0017624,0.0017624,0.0017624
8,756.258,1.25335,0.62462,0.96664,0.84433,0.83289,0.90422,0.56381,1.21545,0.61648,0.99837,0.0017228,0.0017228,0.0017228
9,847.248,1.25418,0.62672,0.96596,0.84858,0.8428,0.90973,0.56446,1.22609,0.60479,1.00495,0.0016832,0.0016832,0.0016832
10,947.461,1.25212,0.62488,0.96375,0.84762,0.83896,0.90882,0.57192,1.20884,0.60239,0.9954,0.0016436,0.0016436,0.0016436
11,1043.77,1.24651,0.62049,0.95932,0.85261,0.83528,0.90831,0.56631,1.20921,0.60139,0.99309,0.001604,0.001604,0.001604
12,1133.69,1.24705,0.62065,0.96307,0.84393,0.84084,0.90851,0.56582,1.21592,0.59413,0.9913,0.0015644,0.0015644,0.0015644
13,1225.67,1.24117,0.61913,0.96079,0.84887,0.84398,0.91158,0.57851,1.19794,0.5878,0.98794,0.0015248,0.0015248,0.0015248
14,1316.17,1.2351,0.61482,0.95813,0.85412,0.83614,0.90961,0.57761,1.18924,0.58154,0.98739,0.0014852,0.0014852,0.0014852
15,1405.43,1.24119,0.61689,0.95966,0.85884,0.8341,0.91026,0.57498,1.19605,0.5825,0.99069,0.0014456,0.0014456,0.0014456
