epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3447,1.62487,0.9755,1.11828,0.79204,0.7767,0.8468,0.49528,1.36312,0.78812,1.0281,0.00066532,0.00066532,0.00066532
2,185.62,1.48731,0.809,1.03629,0.83496,0.80764,0.8856,0.52579,1.37558,0.78475,1.03397,0.00130561,0.00130561,0.00130561
3,278.225,1.45846,0.78171,1.02122,0.84109,0.80438,0.88543,0.51646,1.3638,0.72334,1.02398,0.00191951,0.00191951,0.00191951
4,369.903,1.43597,0.76855,1.01193,0.84407,0.80822,0.89245,0.54064,1.30683,0.69693,1.00736,0.0018812,0.0018812,0.0018812
5,461.746,1.41078,0.7444,1.00505,0.84856,0.79968,0.88993,0.52317,1.34127,0.70479,1.00869,0.0018416,0.0018416,0.0018416
6,554.033,1.39547,0.73835,0.99681,0.84193,0.81372,0.896,0.55391,1.28151,0.69826,0.99699,0.001802,0.001802,0.001802
7,646.128,1.37829,0.72636,0.99301,0.8449,0.8161,0.89427,0.5394,1.29567,0.69392,0.99457,0.0017624,0.0017624,0.0017624
8,738.125,1.36778,0.71292,0.98555,0.84605,0.82334,0.89941,0.55608,1.25685,0.662,0.98307,0.0017228,0.0017228,0.0017228
9,830.397,1.35271,0.70632,0.98017,0.84968,0.81849,0.8974,0.53879,1.30719,0.67374,0.98714,0.0016832,0.0016832,0.0016832
10,922.387,1.34381,0.69842,0.97578,0.86315,0.81582,0.90375,0.55133,1.25784,0.65228,0.97564,0.0016436,0.0016436,0.0016436
11,1014.72,1.33989,0.69085,0.97444,0.85514,0.82138,0.90245,0.55766,1.26043,0.64725,0.9798,0.001604,0.001604,0.001604
12,1106.84,1.32526,0.68422,0.97015,0.85892,0.82539,0.90827,0.55816,1.2482,0.63566,0.97777,0.0015644,0.0015644,0.0015644
13,1199.23,1.3188,0.67784,0.9696,0.85013,0.8122,0.8989,0.5502,1.26507,0.65414,0.97715,0.0015248,0.0015248,0.0015248
14,1291.43,1.32291,0.68026,0.96963,0.8516,0.83354,0.90796,0.56244,1.24169,0.63424,0.97362,0.0014852,0.0014852,0.0014852
15,1383.56,1.31771,0.67543,0.96954,0.84921,0.82898,0.90473,0.56099,1.23384,0.63201,0.96949,0.0014456,0.0014456,0.0014456
16,1475.24,1.30454,0.66874,0.96661,0.84991,0.82711,0.90238,0.55535,1.25644,0.63596,0.97565,0.001406,0.001406,0.001406
17,1567.21,1.30548,0.66823,0.9656,0.83958,0.8273,0.89922,0.55705,1.24892,0.64248,0.97347,0.0013664,0.0013664,0.0013664
18,1660.6,1.29763,0.66197,0.96258,0.84956,0.83187,0.90443,0.57089,1.22032,0.6235,0.96783,0.0013268,0.0013268,0.0013268
19,1753.25,1.2921,0.65686,0.96082,0.85611,0.83325,0.90906,0.56362,1.22948,0.63601,0.9671,0.0012872,0.0012872,0.0012872
20,1845.64,1.2875,0.6547,0.96005,0.85489,0.83021,0.90745,0.56805,1.22793,0.61632,0.96791,0.0012476,0.0012476,0.0012476
21,1937.55,1.27762,0.6477,0.95839,0.85493,0.83224,0.90881,0.56653,1.22961,0.61376,0.96796,0.001208,0.001208,0.001208
22,2029.74,1.27677,0.64581,0.95572,0.85638,0.82826,0.90791,0.57212,1.20691,0.60243,0.96038,0.0011684,0.0011684,0.0011684
23,2122.35,1.27644,0.64516,0.95678,0.85921,0.83195,0.9107,0.5743,1.20206,0.60264,0.96085,0.0011288,0.0011288,0.0011288
