epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.54,1.62432,0.97798,1.11794,0.79574,0.78594,0.84964,0.50051,1.35648,0.77829,1.03169,0.00066532,0.00066532,0.00066532
2,202.666,1.4878,0.80937,1.03568,0.83927,0.81176,0.89151,0.52954,1.33868,0.75263,1.01763,0.00130561,0.00130561,0.00130561
3,295.763,1.46155,0.78126,1.0216,0.83038,0.79085,0.87462,0.4982,1.38641,0.75185,1.02404,0.00191951,0.00191951,0.00191951
4,388.099,1.43639,0.76605,1.01237,0.84365,0.81017,0.8923,0.53217,1.32536,0.69115,1.01202,0.0018812,0.0018812,0.0018812
5,480.449,1.40904,0.74328,1.00509,0.8461,0.8054,0.88856,0.52398,1.34904,0.69355,1.00905,0.0018416,0.0018416,0.0018416
6,573.148,1.39085,0.73003,0.99588,0.83345,0.82326,0.89583,0.55316,1.27247,0.70464,0.98772,0.001802,0.001802,0.001802
7,665.804,1.37874,0.724,0.99305,0.84865,0.8177,0.8989,0.5527,1.266,0.68109,0.9887,0.0017624,0.0017624,0.0017624
8,758.282,1.36796,0.71201,0.98592,0.84178,0.82637,0.89806,0.53876,1.27952,0.69558,0.98924,0.0017228,0.0017228,0.0017228
9,851.044,1.35664,0.70541,0.98192,0.85103,0.81747,0.89811,0.53809,1.30051,0.66737,0.98654,0.0016832,0.0016832,0.0016832
10,943.453,1.34296,0.69815,0.97633,0.85658,0.82544,0.90495,0.55221,1.25094,0.63889,0.97555,0.0016436,0.0016436,0.0016436
11,1036.32,1.34451,0.69417,0.97751,0.85994,0.8106,0.90043,0.5537,1.27059,0.64912,0.9842,0.001604,0.001604,0.001604
12,1128.96,1.32467,0.68278,0.97187,0.85443,0.82337,0.90537,0.56045,1.24177,0.63526,0.97747,0.0015644,0.0015644,0.0015644
13,1222.01,1.31999,0.67824,0.97042,0.85754,0.8178,0.90353,0.55723,1.24713,0.6473,0.97334,0.0015248,0.0015248,0.0015248
14,1314.46,1.32212,0.67878,0.97049,0.84976,0.82724,0.90427,0.55907,1.24781,0.63904,0.97254,0.0014852,0.0014852,0.0014852
15,1407.09,1.3173,0.67633,0.96914,0.85084,0.83043,0.90488,0.55699,1.24352,0.64215,0.96959,0.0014456,0.0014456,0.0014456
16,1499.08,1.30526,0.66708,0.96743,0.8471,0.83137,0.90319,0.5555,1.25168,0.63912,0.97244,0.001406,0.001406,0.001406
17,1591.43,1.3111,0.66697,0.96684,0.84649,0.83095,0.90388,0.55902,1.24153,0.62728,0.97225,0.0013664,0.0013664,0.0013664
18,1684.08,1.29777,0.66162,0.96348,0.84967,0.83292,0.90609,0.56435,1.23571,0.63012,0.96989,0.0013268,0.0013268,0.0013268
19,1776.79,1.29481,0.65747,0.96248,0.8525,0.83433,0.9103,0.56709,1.22437,0.63318,0.96653,0.0012872,0.0012872,0.0012872
20,1869.72,1.29074,0.65443,0.96133,0.85103,0.82811,0.90481,0.57011,1.21506,0.61652,0.96247,0.0012476,0.0012476,0.0012476
21,1962.25,1.27975,0.64758,0.95934,0.85679,0.83145,0.90766,0.56329,1.23397,0.62693,0.96869,0.001208,0.001208,0.001208
22,2055.12,1.27774,0.64815,0.95678,0.85584,0.83151,0.91072,0.57006,1.21395,0.60714,0.96368,0.0011684,0.0011684,0.0011684
23,2149.51,1.27904,0.64639,0.95816,0.86062,0.82819,0.91111,0.57086,1.215,0.6052,0.9655,0.0011288,0.0011288,0.0011288
24,2242.31,1.27298,0.64452,0.95719,0.85599,0.83224,0.90902,0.56591,1.22353,0.61944,0.96468,0.0010892,0.0010892,0.0010892
25,2334.54,1.26171,0.63535,0.95147,0.85384,0.83643,0.90948,0.57071,1.21356,0.5967,0.96238,0.0010496,0.0010496,0.0010496
26,2426.81,1.26681,0.63732,0.95245,0.85623,0.83282,0.90809,0.57018,1.22191,0.6244,0.96363,0.00101,0.00101,0.00101
27,2519.18,1.25954,0.63124,0.95306,0.86227,0.83925,0.9147,0.57727,1.2092,0.589,0.96071,0.0009704,0.0009704,0.0009704
28,2611.68,1.25538,0.6302,0.95122,0.86409,0.83289,0.91134,0.57846,1.19323,0.59229,0.95557,0.0009308,0.0009308,0.0009308
29,2704.03,1.24815,0.62546,0.94805,0.85993,0.83339,0.91107,0.57761,1.2013,0.59157,0.95961,0.0008912,0.0008912,0.0008912
30,2796.4,1.24758,0.6261,0.94746,0.86133,0.8386,0.91466,0.57477,1.20584,0.59983,0.96314,0.0008516,0.0008516,0.0008516
31,2888.92,1.24563,0.62209,0.94701,0.86518,0.83283,0.91352,0.58042,1.19565,0.58695,0.9581,0.000812,0.000812,0.000812
32,2981.31,1.24451,0.62007,0.94669,0.85811,0.83527,0.91246,0.57886,1.19587,0.58374,0.95715,0.0007724,0.0007724,0.0007724
33,3074.25,1.24284,0.62021,0.94651,0.85818,0.83963,0.91521,0.57645,1.19993,0.58497,0.95578,0.0007328,0.0007328,0.0007328
34,3167.49,1.23144,0.61252,0.94179,0.8599,0.84054,0.9156,0.58313,1.18352,0.57865,0.95093,0.0006932,0.0006932,0.0006932
35,3260.4,1.23802,0.6148,0.9443,0.85997,0.83426,0.91418,0.58123,1.19027,0.58121,0.95454,0.0006536,0.0006536,0.0006536
36,3353.13,1.2279,0.60879,0.9419,0.8547,0.84012,0.91271,0.58158,1.18491,0.58838,0.95245,0.000614,0.000614,0.000614
37,3446.24,1.2229,0.60422,0.93918,0.86036,0.84041,0.91576,0.58293,1.18393,0.5739,0.95262,0.0005744,0.0005744,0.0005744
38,3538.91,1.22019,0.60477,0.94013,0.85403,0.84381,0.91528,0.58499,1.17932,0.57527,0.95185,0.0005348,0.0005348,0.0005348
39,3631.8,1.21768,0.6003,0.93849,0.86155,0.84244,0.91665,0.58429,1.18986,0.57812,0.95281,0.0004952,0.0004952,0.0004952
40,3724.53,1.21154,0.59854,0.93808,0.85871,0.84505,0.91802,0.58913,1.17746,0.56957,0.95384,0.0004556,0.0004556,0.0004556
41,3811.98,1.21733,0.59241,0.94725,0.85609,0.84045,0.91408,0.58255,1.18515,0.58191,0.95465,0.000416,0.000416,0.000416
42,3898.4,1.20292,0.58481,0.94011,0.86288,0.83674,0.91519,0.58542,1.18441,0.57053,0.95272,0.0003764,0.0003764,0.0003764
43,3985.17,1.19996,0.58128,0.94029,0.86571,0.83898,0.91676,0.58833,1.17428,0.56445,0.94943,0.0003368,0.0003368,0.0003368
44,4071.57,1.19155,0.57714,0.93823,0.8622,0.84014,0.91679,0.58576,1.18505,0.57128,0.95572,0.0002972,0.0002972,0.0002972
45,4157.9,1.18636,0.57411,0.93798,0.86383,0.83937,0.91616,0.58829,1.17553,0.56584,0.9513,0.0002576,0.0002576,0.0002576
46,4244.21,1.1818,0.57064,0.93682,0.86055,0.84236,0.91667,0.58753,1.17242,0.56445,0.95098,0.000218,0.000218,0.000218
47,4330.48,1.1809,0.56844,0.93629,0.8656,0.83954,0.91748,0.59089,1.16615,0.56304,0.94952,0.0001784,0.0001784,0.0001784
48,4416.95,1.17046,0.56358,0.93122,0.86481,0.84215,0.91822,0.59103,1.17093,0.55945,0.9509,0.0001388,0.0001388,0.0001388
49,4503.18,1.16721,0.56022,0.93086,0.86385,0.84063,0.91671,0.58965,1.17125,0.56182,0.95043,9.92e-05,9.92e-05,9.92e-05
50,4589.82,1.163,0.55802,0.92948,0.86229,0.84301,0.91782,0.59153,1.16675,0.55992,0.94971,5.96e-05,5.96e-05,5.96e-05
