epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.775,3.48499,2.43298,2.14621,0.75017,0.74247,0.80871,0.47413,2.98172,1.62519,2.0284,0.00066532,0.00066532,0.00066532
2,269.471,3.24027,1.73949,2.0492,0.79279,0.78384,0.85784,0.4958,2.92718,1.63023,2.02652,0.00130561,0.00130561,0.00130561
3,395.694,3.19846,1.68517,2.02763,0.82378,0.77646,0.86789,0.49769,2.96708,1.49438,2.02721,0.00191951,0.00191951,0.00191951
4,520.893,3.12955,1.64358,2.00968,0.8252,0.79332,0.87773,0.52157,2.83167,1.38374,2.00326,0.0018812,0.0018812,0.0018812
5,645.776,3.07223,1.58126,2.00003,0.81443,0.80352,0.87765,0.52396,2.85416,1.39733,1.9968,0.0018416,0.0018416,0.0018416
6,771.82,3.01379,1.54044,1.97536,0.82317,0.81432,0.88641,0.53574,2.79178,1.3593,1.98479,0.001802,0.001802,0.001802
7,897.291,2.9909,1.51844,1.97341,0.80376,0.80567,0.87766,0.52941,2.76857,1.41774,1.98013,0.0017624,0.0017624,0.0017624
8,1022.55,2.97321,1.49371,1.96327,0.83494,0.81798,0.893,0.54139,2.72737,1.36193,1.96987,0.0017228,0.0017228,0.0017228
9,1148.11,2.94672,1.47926,1.95628,0.8256,0.81677,0.88745,0.53172,2.76358,1.37597,1.9657,0.0016832,0.0016832,0.0016832
10,1273.61,2.92316,1.45938,1.94619,0.84293,0.81256,0.8964,0.55282,2.69163,1.29464,1.95598,0.0016436,0.0016436,0.0016436
11,1399.37,2.91023,1.44636,1.94629,0.83784,0.81707,0.89389,0.54766,2.7142,1.29955,1.96591,0.001604,0.001604,0.001604
12,1524.64,2.8744,1.42795,1.93721,0.84561,0.81944,0.89972,0.56389,2.64068,1.24896,1.94845,0.0015644,0.0015644,0.0015644
13,1650.5,2.86759,1.40575,1.93562,0.84507,0.82334,0.90306,0.56101,2.67357,1.26688,1.95393,0.0015248,0.0015248,0.0015248
14,1776.27,2.87411,1.41497,1.93649,0.84317,0.81668,0.89861,0.55524,2.67888,1.33591,1.9529,0.0014852,0.0014852,0.0014852
15,1901.78,2.87285,1.41194,1.9381,0.84538,0.81876,0.901,0.55576,2.6559,1.26734,1.94868,0.0014456,0.0014456,0.0014456
16,2026.54,2.82252,1.38379,1.9273,0.84792,0.82445,0.90058,0.55355,2.7113,1.25777,1.95904,0.001406,0.001406,0.001406
17,2151.59,2.84071,1.39279,1.92808,0.84184,0.81863,0.89844,0.55494,2.69085,1.25649,1.95646,0.0013664,0.0013664,0.0013664
18,2278.79,2.81858,1.37956,1.92019,0.84081,0.82102,0.89931,0.55799,2.67777,1.27095,1.95136,0.0013268,0.0013268,0.0013268
19,2404.77,2.80724,1.36831,1.91927,0.83694,0.83323,0.90313,0.56401,2.65344,1.24188,1.94345,0.0012872,0.0012872,0.0012872
20,2530.94,2.7967,1.3588,1.91676,0.82649,0.83187,0.89829,0.56234,2.64757,1.24269,1.94284,0.0012476,0.0012476,0.0012476
21,2656.45,2.77305,1.34754,1.91377,0.84349,0.82941,0.90363,0.55806,2.67109,1.27331,1.94356,0.001208,0.001208,0.001208
22,2782.05,2.77383,1.3411,1.91065,0.84019,0.82761,0.9025,0.56979,2.61217,1.21592,1.92914,0.0011684,0.0011684,0.0011684
23,2908.12,2.77585,1.34319,1.91156,0.84381,0.82073,0.90075,0.5661,2.60366,1.23079,1.92989,0.0011288,0.0011288,0.0011288
24,3034.08,2.76139,1.33632,1.91031,0.84368,0.82734,0.90427,0.56645,2.62421,1.22391,1.93223,0.0010892,0.0010892,0.0010892
25,3159.25,2.73147,1.31951,1.89859,0.84822,0.82715,0.90547,0.57612,2.57731,1.19877,1.92834,0.0010496,0.0010496,0.0010496
26,3284.43,2.74614,1.32145,1.90064,0.84352,0.82587,0.9016,0.56668,2.62086,1.23562,1.93387,0.00101,0.00101,0.00101
27,3409.48,2.73498,1.31,1.90341,0.84654,0.83281,0.90557,0.57609,2.58916,1.20256,1.92532,0.0009704,0.0009704,0.0009704
28,3535.11,2.7243,1.30402,1.89825,0.84984,0.82866,0.9073,0.57655,2.57322,1.17581,1.91653,0.0009308,0.0009308,0.0009308
29,3660.07,2.70792,1.2934,1.89363,0.84663,0.83643,0.9076,0.58018,2.56734,1.18696,1.92265,0.0008912,0.0008912,0.0008912
30,3785.35,2.7047,1.29434,1.891,0.84567,0.83287,0.90748,0.574,2.59255,1.20287,1.92373,0.0008516,0.0008516,0.0008516
31,3911.05,2.70167,1.28744,1.89191,0.85907,0.82907,0.90764,0.57739,2.57205,1.18325,1.91769,0.000812,0.000812,0.000812
32,4036.41,2.70397,1.29236,1.8894,0.84869,0.83347,0.90823,0.57725,2.59419,1.15828,1.91728,0.0007724,0.0007724,0.0007724
33,4162.29,2.69736,1.28741,1.88891,0.84452,0.83267,0.90793,0.57294,2.60094,1.21675,1.9221,0.0007328,0.0007328,0.0007328
34,4289.03,2.67964,1.2738,1.8804,0.85973,0.82741,0.91005,0.57931,2.56987,1.16199,1.91415,0.0006932,0.0006932,0.0006932
35,4415.37,2.68863,1.27615,1.88329,0.85495,0.8352,0.91238,0.58106,2.57232,1.15969,1.91293,0.0006536,0.0006536,0.0006536
36,4541.57,2.66629,1.26571,1.87859,0.84863,0.83723,0.91022,0.5825,2.56328,1.16772,1.91367,0.000614,0.000614,0.000614
37,4668.57,2.655,1.25355,1.87248,0.86214,0.82876,0.91192,0.58565,2.55448,1.14734,1.91383,0.0005744,0.0005744,0.0005744
38,4794.97,2.64457,1.25203,1.87522,0.85101,0.84048,0.91195,0.58172,2.56455,1.15262,1.91541,0.0005348,0.0005348,0.0005348
39,4921.15,2.64371,1.24615,1.87345,0.85276,0.83846,0.9128,0.5793,2.58258,1.17675,1.91461,0.0004952,0.0004952,0.0004952
40,5047.16,2.63347,1.24537,1.87216,0.85411,0.84135,0.91237,0.58332,2.55632,1.15903,1.9126,0.0004556,0.0004556,0.0004556
41,5163.05,2.62208,1.21752,1.89491,0.84901,0.83723,0.90948,0.5782,2.57554,1.18229,1.91207,0.000416,0.000416,0.000416
42,5278.21,2.59513,1.20256,1.88242,0.85526,0.84019,0.91244,0.58657,2.54905,1.14669,1.91502,0.0003764,0.0003764,0.0003764
43,5393.23,2.58136,1.1948,1.88326,0.86098,0.83426,0.91323,0.5864,2.55374,1.14371,1.91257,0.0003368,0.0003368,0.0003368
44,5508.15,2.56163,1.18338,1.87708,0.85346,0.84019,0.91154,0.58595,2.55123,1.14483,1.91378,0.0002972,0.0002972,0.0002972
45,5623.19,2.55533,1.179,1.87507,0.8647,0.83629,0.9142,0.58669,2.55044,1.1453,1.91298,0.0002576,0.0002576,0.0002576
46,5738.25,2.54104,1.17215,1.87221,0.85905,0.84301,0.91497,0.58692,2.54799,1.13311,1.91122,0.000218,0.000218,0.000218
47,5853.4,2.5392,1.1702,1.87146,0.86224,0.83947,0.91478,0.58954,2.53595,1.13021,1.90714,0.0001784,0.0001784,0.0001784
48,5968.67,2.52315,1.15744,1.86025,0.86256,0.84403,0.91611,0.59045,2.53784,1.1294,1.90821,0.0001388,0.0001388,0.0001388
49,6083.61,2.51195,1.15267,1.86104,0.86129,0.83999,0.91468,0.59007,2.53877,1.1314,1.90776,9.92e-05,9.92e-05,9.92e-05
50,6198.44,2.50031,1.14889,1.85922,0.86671,0.83708,0.9158,0.59128,2.52947,1.13116,1.90746,5.96e-05,5.96e-05,5.96e-05
